month,total_revenue,previous_month,revenue_change,growth_percentage
2016-09,143.46,NULL,NULL,NULL
2016-10,47195.15,143.46,47051.69,32797.78
2016-12,19.62,47195.15,-47175.53,-99.96
2017-01,127367.44,19.62,127347.82,649071.46
2017-02,269399.65,127367.44,142032.21,111.51
2017-03,414330.95,269399.65,144931.30,53.80
2017-04,390812.40,414330.95,-23518.55,-5.68
2017-05,566657.40,390812.40,175845.00,44.99
2017-06,490050.37,566657.40,-76607.03,-13.52
2017-07,566299.08,490050.37,76248.71,15.56
2017-08,645832.36,566299.08,79533.28,14.04
2017-09,700883.51,645832.36,55051.15,8.52
2017-10,751117.01,700883.51,50233.50,7.17
2017-11,1153229.37,751117.01,402112.36,53.54
2017-12,843078.29,1153229.37,-310151.08,-26.89
2018-01,1077887.46,843078.29,234809.17,27.85
2018-02,966212.50,1077887.46,-111674.96,-10.36
2018-03,1120598.24,966212.50,154385.74,15.98
2018-04,1132878.93,1120598.24,12280.69,1.10
2018-05,1128774.52,1132878.93,-4104.41,-0.36
2018-06,1011448.96,1128774.52,-117325.56,-10.39
2018-07,1027286.52,1011448.96,15837.56,1.57
2018-08,985491.64,1027286.52,-41794.88,-4.07
