customer_city,customer_state,customer_count,customer_percentage
"sao paulo",SP,14984,15.59
"rio de janeiro",RJ,6620,6.89
"belo horizonte",MG,2672,2.78
brasilia,DF,2069,2.15
curitiba,PR,1465,1.52
campinas,SP,1398,1.45
"porto alegre",RS,1326,1.38
salvador,BA,1209,1.26
guarulhos,SP,1153,1.20
"sao bernardo do campo",SP,908,0.94
niteroi,RJ,811,0.84
"santo andre",SP,768,0.80
osasco,SP,717,0.75
santos,SP,692,0.72
goiania,GO,671,0.70
"sao jose dos campos",SP,666,0.69
fortaleza,CE,643,0.67
sorocaba,SP,610,0.63
recife,PE,590,0.61
jundiai,SP,547,0.57
